B,CostC_S35000
0,12897.34125
1,13739.78
2,11546.1
3,13094.2825
4,13191.2145
5,13319.435
6,13422.1825
7,13552.575
8,13609.2495
9,13680.8355
10,13774.4825
11,13766.93375
12,13815.145
13,13898.725
14,13903.6775
15,13931.15875
