B,CostC_S32768
0,10645.545
1,11094.975
2,10437.25
3,10337.665
4,10373.2725
5,10404.0675
6,10473.1475
7,10536.882
8,10537.105
9,10600.6625
10,10636.43125
11,10642.31375
12,10664.16625
13,10678.11375
14,10687.83875
15,10697.9025
