B,CostC_S55000
1,81123.55
2,86388.8
3,96947.8
4,109200.1
5,122256.75
6,135523.145
7,149286.73
8,163396.465
9,177642.485
10,191312.625
11,205709.57
12,220178.365
13,234847.69625
14,249290.965
15,263754.8275
