B,CostC_S65530
0,5569139.48625
1,1580042
2,1075677
3,962202.5
4,940203
5,949565.5
6,969145
7,1012094.85
8,1045415.1
9,1085438.18125
10,1130995.5
11,1170311.35
12,1216381.75
13,1258518.3225
14,1296704.20125
15,1343691.7125
