B,CostC_S20000
0,2983.45125
1,2667.857
2,2397.41
3,2328.0025
4,2312.27375
5,2301.10625
6,2296.53125
7,2296.62625
8,2297.8375
9,2302.0687
10,2295.2075
11,2301.5325
12,2302.72
13,2295.5125
14,2300.50875
15,2301.20625
