B,CostS_15000
1,1272.6775
2,1145.05375
3,1120.3725
4,1109.55625
5,1110.06
6,1108.045
7,1105.01
8,1107.84125
9,1109.395
10,1107.51
11,1107.41875
12,1108.3075
13,1109.45375
14,1108.05
15,1106.4675
