B,CostC_S45000
1,33612.5
2,34320.505
3,36248.19
4,38378.24
5,40385.725
6,42190.245
7,43851.25
8,45397.865
9,46659.37
10,47912.235
11,49147.555
12,50010.4875
13,51015.54375
14,51830.56375
15,52537.36125
