B,CostC_S50000
1,51709.65
2,54412.46
3,59647.14
4,65362.94
5,71110.78
6,76734.83
7,82400.74
8,87866.91
9,93163.64
10,98463.86
11,103379.81
12,108320.485
13,112874
14,118107.24125
15,122227.98625
