B,CostC_S49152
1,48095.4
2,50315.555
3,54846.705
4,45956.965
5,64620.315
6,69521.86
7,74070.9
8,78342.94
9,82672.765
10,86761.045
11,90635.395
12,94748.535
13,98174.46125
14,101905.44875
15,105370.17875
