B,CostC_S65536
1,1949388
2,1340258.5
3,1213707
4,1174936.5
5,1194316
6,1204051.5
7,1246754
8,1288489.5
9,1329507.09625
10,1390246.5
11,1429333.75
12,1454184.1
13,1488952.31625
14,1510772.1075
15,1565090.855
