S,Linear_Probes_B8,Random_Probes_B8,Total_Probes_B8
1000,3.775,0,3.775
2000,14.43,0,14.43
5000,94.965,0,94.965
10000,429.86,0.0025,429.863
15000,1113.4,0.0925,1113.49
20000,2297.02,1.195,2298.22
30000,7647.58,42.7775,7690.36
32768,10424.3,92.61,10516.9
35000,13389,165.623,13554.6
39321,21821,450.265,22271.3
40000,23614.1,520.565,24134.7
45000,43089,1480.16,44569.2
49152,73463.3,3363.52,76826.8
50000,81966.9,3951.11,85819.1
55000,149300,9257.08,158557
60000,244358,17694.9,262053
65530,912090,86272.3,998362
65536,1113360,108632,1221990
