S,Linear_Probes_B7,Random_Probes_B7,Total_Probes_B7
1000,3.4375,0,3.4375
2000,14.4925,0,14.4925
5000,95.9625,0,95.9625
10000,430.115,0.0025,430.118
15000,1106.75,0.2125,1106.96
20000,2295.07,2.1675,2297.24
30000,7594.45,62.615,7657.07
32768,10347.1,126.365,10473.4
35000,13221.3,215.227,13436.5
39321,21338.6,550.375,21889
40000,23038.5,631.663,23670.1
45000,41329.9,1691.25,43021.2
49152,68523.5,3648.79,72172.3
50000,76030.6,4243.04,80273.6
55000,135144,9512.23,144656
60000,220516,17938.1,238455
65530,869430,93570.2,963000
65536,1047460,115850,1163310
