S,Linear_Probes_B15,Random_Probes_B15,Total_Probes_B15
1000,3.4625,0.0,3.4625
2000,14.485,0.0,14.485
5000,96.135,0.0,96.135
10000,434.21,0.0,434.21
15000,1107.4475,0.0,1107.4475
20000,2297.0175,0.0175,2297.035
30000,7731.3425,4.7875,7736.13
32768,10668.5025,15.0475,10683.55
35000,13844.645,34.34,13878.985
39321,23526.0375,144.6425,23670.68
40000,25710.5275,180.83,25891.3575
45000,51579.975,746.575,52326.55
49152,101697.01,2246.0125,103943.0225
50000,118229.3625,2804.685,121034.0475
55000,251388.7275,8528.4225,259917.15
60000,409373.2175,16953.8375,426327.055
65530,1250630.955,63479.0825,1314110.0375
65536,1439451.845,75272.7675,1514724.6125






