S,Linear_Probes_B6,Random_Probes_B6,Total_Probes_B6
1000,3.4825,0,3.4825
2000,14.355,0,14.355
5000,95.67,0,95.67
10000,430.072,0.035,430.108
15000,1108.38,0.4525,1108.84
20000,2283.9,4.5175,2288.42
30000,7545.31,92.1125,7637.42
32768,10208.7,176,10394.7
35000,12973.6,284.147,13257.7
39321,20790.8,687.347,21478.2
40000,22397.3,780.028,23177.3
45000,39224.2,1955.84,41180
49152,63431.8,4005.95,67437.8
50000,69951.1,4618.2,74569.3
55000,120730,9815.32,130546
60000,197058,18330.4,215389
65530,820249,102106,922355
65536,1018640,130444,1149080
