S,Linear_Probes_B8,Random_Probes_B8,Total_Probes_B8
1000,3.74,0,3.74
2000,14.1975,0,14.1975
5000,96.4621,0,96.4621
10000,429.577,0.08,429.658
15000,1108.16,1.255,1109.42
20000,2288.11,8.9925,2297.11
30000,7439.84,138.537,7578.38
32768,10033.5,251.123,10284.7
35000,11185.9,338.999,11524.9
40000,21555.1,988.39,22543.5
45000,36876.1,2302.36,39178.5
49152,57911.2,4459.23,62370.5
50000,63516.8,5082.5,68599.3
55000,106661,10276.4,116937
60000,173550,18917.4,192476
65530,778112,114704,892816
65536,961248,145226,1106470
