S,Linear_Probes_B3,Random_Probes_B3,Total_Probes_B3
1000,3.4675,0,3.4675
2000,14.49,0,14.49
5000,95.115,0.0425,95.1575
10000,432.005,1.45,433.455
15000,1103.51,10.7425,1114.26
20000,2263.43,46.005,2309.43
30000,7133.49,368.587,7502.07
32768,9458.5,587.597,10046.1
35000,11810.1,839.408,12649.5
40000,19234,1767.56,21001.5
45000,30970.1,3507.69,34477.8
50000,49648.7,6655.22,56304
55000,78924.1,12033.4,90957.5
60000,127734,21556.2,149290
65530,716799,164845,881644
65536,905607,212045,1117650
