S,Linear_Probes_B14,Random_Probes_B14,Total_Probes_B14
1000,3.625,0.0,3.625
2000,14.2,0.0,14.2
5000,95.44,0.0,95.44
10000,430.6875,0.0,430.6875
15000,1110.7475,0.0,1110.7475
20000,2302.0025,0.02,2302.0225
30000,7743.445,6.5825,7750.0275
32768,10665.05,19.0925,10684.1425
35000,13833.1425,42.4,13875.5425
39321,23405.3075,167.96,23573.2675
40000,25511.3675,205.84,25717.2075
45000,50593.8775,809.13,51403.0075
49152,98133.7,2352.6825,100486.3825
50000,113281.7975,2915.8025,116197.6
55000,236409.2475,8567.73,244976.9775
60000,386569.43,17027.53,403596.96
65530,1200421.91,65283.1975,1265705.1075
65536,1400104.24,78579.4775,1478683.7175
