S,Linear_Probes_B9,Random_Probes_B9,Total_Probes_B9
1000,3.11,0,3.11
2000,15.27,0,15.27
5000,95.185,0,95.185
10000,424.09,0,424.09
15000,1109.14,0.0375,1109.98
20000,2296.83,0.5875,2297.02
30000,7667.51,30.185,7697.69
32768,10474,69.7825,10544.4
35000,13486.1,127.39,13613.5
40000,24032.5,434.91,24467.4
45000,44773.1,1318.45,46091.5
49152,78212.8,3133.74,81346.6
50000,87550.1,3706.43,91256.5
55000,163956,9087.42,173044
60000,267897,17476,285373
65530,955928.9,81817.85
65536,1173950,102351,1276300
