S,Linear_Probes_B4,Random_Probes_B4,Total_Probes_B4
1000,3.4475,0,3.4475
2000,14.58,0,14.58
5000,96.215,0.005,96.22
10000,429.995,0.3825,430.377
15000,1102.12,3.5975,1105.71
20000,2283.7,19.885,2303.59
30000,7333.32,220.1,7553.42
32768,9793.24,373.805,10167
35000,12325,558.025,12883
39321,19174,1158.09,20332.1
40000,20536.8,1289.52,21826.4
45000,34124.7,2783.59,36908.3
50000,56820.9,5723.58,62544.4
55000,92739.4,10950.2,103690
60000,150314,19850.5,170165
65530,741206,133461,874667
65536,920598,169336,1089930
