S,Linear_Probes_B13,Random_Probes_B13,Total_Probes_B13
1000,3.5325,0.0,3.5325
2000,14.6125,0.0,14.6125
5000,95.3625,0.0,95.3625
10000,429.49,0.0,429.49
15000,1113.8175,0.0025,1113.82
20000,2293.2,0.05,2293.25
30000,7716.94,8.625,7725.565
32768,10619.7175,23.88,10643.5975
35000,13773.9825,50.9475,13824.93
39321,23263.9525,196.265,23460.2175
40000,25317.7125,236.1975,25553.91
45000,49605.785,880.1125,50485.8975
49152,94606.475,2473.7125,97080.1875
50000,108693.38,3037.3775,111730.7575
55000,221781.14,8629.79,230410.93
60000,362570.645,17061.0025,379631.6475
65530,1155886.025,67740.055,1223626.08
65536,1351135.055,81679.4325,1432814.4875
