S,Linear_Probes_B2,Random_Probes_B2,Total_Probes_B2
1000,3.33,0,3.335
2000,14.55,0.0125,14.5625
5000,96.10,0.4025,96.505
10000,426.14,6.645,432.793
15000,1089.23,34.5475,1123.78
20000,2230.23,116.698,2346.93
30000,6820.56,675.508,7496.07
32768,8930.24,1006.25,9936.49
35000,11047.9,1369.7,12417.6
39321,16424.2,2387.49,18811.7
40000,17468.3,2597.79,20066.1
45000,27233.6,4709.58,31943.2
49152,39120.2,7494.63,46614.8
50000,42110.6,8219.45,50330.1
55000,65293,14044.5,79337.5
60000,106053,25079.5,131132
65530,736468,232134,968602
65536,916352,292100,1208450
