S,Linear_Probes_B11,Random_Probes_B11,Total_Probes_B11
1000,3.5925,0,3.5925
2000,14.395,0,14.395
5000,96.0625,0,96.0625
10000,429.058,0,429.058
15000,1104.95,0.0025,1104.95
20000,2299.53,0.155,2299.69
30000,7716.1,16.315,7732.42
32768,10578.9,39.43,10618.3
35000,13695.1,80.1825,13775.3
39321,22744.8,263.865,23008.7
40000,24785.7,314.43,25100.1
45000,47542.1,1066.47,48608.6
49152,86868.6,2762.45,89631.1
50000,98705.8,3335.51,102041
55000,192418,8796.28,201215
60000,315163,17216.3,332380
65530,1059430,73354,1132780
65536,1279150,91654.1,1370800
