S,Cluster_size_B3,Clusters_B3
6554,1,53282.400
6554,2,4982.720
6554,3,603.400
6554,4,93.940
6554,5,15.880
6554,6,3.060
6554,7,0.420
6554,8,0.140
6554,9,0.020
6554,10,0.020
13107,1,42657.460
13107,2,7451.980
13107,3,1648.040
13107,4,448.920
13107,5,145.220
13107,6,49.820
13107,7,17.780
13107,8,6.340
13107,9,2.060
13107,10,0.940
13107,11,0.440
13107,12,0.060
13107,13,0.040
13107,14,0.040
19661,1,33526.800
19661,2,8215.920
19661,3,2464.880
19661,4,902.740
19661,5,390.320
19661,6,187.700
19661,7,93.880
19661,8,46.240
19661,9,22.500
19661,10,11.500
19661,11,5.760
19661,12,3.220
19661,13,1.640
19661,14,0.900
19661,15,0.340
19661,16,0.220
19661,17,0.120
19661,18,0.040
19661,19,0.020
19661,20,0.040
19661,21,0.020
19661,24,0.020
26214,1,25685.7
26214,2,7960.940
26214,3,2875.700
26214,4,1223.780
26214,5,632.240
26214,6,359.320
26214,7,219.920
26214,8,133.000
26214,9,84.480
26214,10,53.180
26214,11,32.980
26214,12,21.620
26214,13,14.580
26214,14,8.720
26214,15,4.960
26214,16,3.560
26214,17,2.280
26214,18,1.620
26214,19,1.200
26214,20,0.600
26214,21,0.540
26214,22,0.200
26214,23,0.120
26214,24,0.080
26214,25,0.080
26214,26,0.080
26214,27,0.020
26214,28,0.020
32768,1,18909.300
32768,2,7187.140
32768,3,2912.940
32768,4,1346.820
32768,5,759.420
32768,6,475.560
32768,7,318.500
32768,8,226.380
32768,9,167.000
32768,10,121.340
32768,11,86.660
32768,12,62.400
32768,13,49.040
32768,14,35.280
32768,15,25.280
32768,16,20.400
32768,17,14.060
32768,18,10.520
32768,19,8.220
32768,20,6.560
32768,21,4.640
32768,22,3.440
32768,23,2.200
32768,24,2.280
32768,25,1.460
32768,26,1.380
32768,27,0.800
32768,28,0.660
32768,29,0.520
32768,30,0.360
32768,31,0.320
32768,32,0.260
32768,33,0.180
32768,34,0.160
32768,35,0.120
32768,36,0.060
32768,37,0.080
32768,39,0.060
32768,40,0.060
32768,42,0.020
32768,43,0.020
32768,45,0.020
32768,50,0.020
39321,1,12702.600
39321,2,6438.460
39321,3,2697.720
39321,4,1322.780
39321,5,770.400
39321,6,499.440
39321,7,355.540
39321,8,264.320
39321,9,199.880
39321,10,158.980
39321,11,125.200
39321,12,104.520
39321,13,84.340
39321,14,72.160
39321,15,59.860
39321,16,45.880
39321,17,39.220
39321,18,32.140
39321,19,26.420
39321,20,23.520
39321,21,18.600
39321,22,15.060
39321,23,12.640
39321,24,9.520
39321,25,9.420
39321,26,7.440
39321,27,6.420
39321,28,5.300
39321,29,4.840
39321,30,3.500
39321,31,3.420
39321,32,3.100
39321,33,2.520
39321,34,2.500
39321,35,1.240
39321,36,1.140
39321,37,1.380
39321,38,1.040
39321,39,1.200
39321,40,0.920
39321,41,0.520
39321,42,0.620
39321,43,0.540
39321,44,0.500
39321,45,0.400
39321,46,0.460
39321,47,0.320
39321,48,0.440
39321,49,0.180
39321,50,0.220
39321,51,0.240
39321,52,0.220
39321,53,0.220
39321,54,0.100
39321,55,0.140
39321,56,0.060
39321,57,0.040
39321,58,0.080
39321,60,0.080
39321,61,0.080
39321,62,0.060
39321,63,0.040
39321,64,0.080
39321,65,0.020
39321,66,0.020
39321,70,0.020
39321,72,0.020
39321,84,0.020
45875,1,6168.960
45875,2,6053.020
45875,3,2350.180
45875,4,1231.460
45875,5,749.280
45875,6,495.280
45875,7,343.940
45875,8,256.480
45875,9,193.880
45875,10,158.360
45875,11,130.820
45875,12,105.540
45875,13,91.880
45875,14,80.520
45875,15,70.060
45875,16,60.100
45875,17,53.000
45875,18,47.440
45875,19,43.140
45875,20,34.740
45875,21,30.220
45875,22,28.740
45875,23,25.560
45875,24,22.980
45875,25,20.620
45875,26,18.120
45875,27,16.700
45875,28,15.040
45875,29,12.740
45875,30,12.120
45875,31,11.280
45875,32,9.180
45875,33,8.480
45875,34,8.380
45875,35,6.560
45875,36,5.320
45875,37,5.760
45875,38,5.600
45875,39,5.180
45875,40,4.620
45875,41,4.780
45875,42,3.020
45875,43,3.280
45875,44,3.080
45875,45,3.360
45875,46,3.180
45875,47,2.400
45875,48,2.140
45875,49,1.760
45875,50,1.980
45875,51,1.420
45875,52,1.560
45875,53,1.760
45875,54,1.200
45875,55,1.460
45875,56,1.040
45875,57,1.300
45875,58,1.080
45875,59,1.040
45875,60,0.700
45875,61,1.100
45875,62,0.860
45875,63,0.940
45875,64,0.520
45875,65,0.640
45875,66,0.960
45875,67,0.440
45875,68,0.420
45875,69,0.680
45875,70,0.360
45875,71,0.380
45875,72,0.400
45875,73,0.560
45875,74,0.540
45875,75,0.360
45875,76,0.340
45875,77,0.440
45875,78,0.220
45875,79,0.280
45875,80,0.280
45875,81,0.300
45875,82,0.140
45875,83,0.120
45875,84,0.200
45875,85,0.200
45875,86,0.160
45875,87,0.220
45875,88,0.220
45875,89,0.100
45875,90,0.160
45875,91,0.140
45875,92,0.100
45875,93,0.060
45875,94,0.140
45875,95,0.040
45875,96,0.160
45875,97,0.060
45875,98,0.080
45875,99,0.040
45875,100,0.080
45875,101,0.060
45875,102,0.080
45875,105,0.020
45875,106,0.020
45875,107,0.020
45875,108,0.040
45875,109,0.040
45875,110,0.020
45875,112,0.020
45875,113,0.040
45875,114,0.040
45875,119,0.040
45875,120,0.020
45875,121,0.020
45875,124,0.040
45875,126,0.020
45875,130,0.020
45875,132,0.020
45875,143,0.020
49152,1,1731.04
49152,2,6041.860
49152,3,2129.600
49152,4,1125.520
49152,5,731.980
49152,6,497.200
49152,7,346.880
49152,8,254.780
49152,9,200.420
49152,10,160.100
49152,11,130.860
49152,12,103.160
49152,13,87.600
49152,14,79.320
49152,15,67.980
49152,16,57.680
49152,17,53.800
49152,18,47.180
49152,19,41.500
49152,20,36.300
49152,21,34.660
49152,22,30.600
49152,23,28.860
49152,24,25.320
49152,25,23.860
49152,26,21.820
49152,27,19.800
49152,28,16.760
49152,29,16.940
49152,30,15.620
49152,31,12.740
49152,32,12.240
49152,33,10.380
49152,34,9.740
49152,35,10.580
49152,36,7.820
49152,37,8.260
49152,38,7.720
49152,39,6.800
49152,40,6.820
49152,41,4.920
49152,42,5.880
49152,43,6.140
49152,44,5.220
49152,45,4.000
49152,46,3.900
49152,47,4.360
49152,48,3.700
49152,49,3.200
49152,50,3.160
49152,51,3.160
49152,52,3.060
49152,53,3.080
49152,54,3.060
49152,55,2.320
49152,56,2.160
49152,57,2.180
49152,58,2.180
49152,59,2.240
49152,60,1.640
49152,61,2.040
49152,62,2.100
49152,63,1.920
49152,64,1.260
49152,65,1.500
49152,66,1.240
49152,67,1.360
49152,68,1.440
49152,69,1.300
49152,70,1.060
49152,71,1.220
49152,72,0.900
49152,73,0.840
49152,74,0.900
49152,75,1.100
49152,76,0.880
49152,77,0.800
49152,78,0.720
49152,79,0.720
