S,Cluster_size_B2,Clusters_B2
6554,1,53279.740
6554,2,4982.280
6554,3,611.000
6554,4,90.420
6554,5,15.340
6554,6,2.640
6554,7,0.520
6554,8,0.080
6554,10,0.020
13107,1,42647.600
13107,2,7454.140
13107,3,1655.380
13107,4,455.620
13107,5,144.380
13107,6,47.300
13107,7,15.880
13107,8,5.720
13107,9,2.060
13107,10,0.480
13107,11,0.300
13107,12,0.120
13107,13,0.040
13107,14,0.020
19661,1,33453.140
19661,2,8261.940
19661,3,2487.240
19661,4,927.440
19661,5,399.260
19661,6,183.200
19661,7,86.280
19661,8,38.420
19661,9,19.300
19661,10,9.600
19661,11,5.000
19661,12,2.280
19661,13,0.880
19661,14,0.520
19661,15,0.320
19661,16,0.120
19661,17,0.120
19661,18,0.020
19661,19,0.020
19661,20,0.020
26214,1,25536.100
26214,2,8037.080
26214,3,2900.460
26214,4,1289.180
26214,5,657.080
26214,6,366.280
26214,7,209.780
26214,8,129.560
26214,9,76.000
26214,10,45.100
26214,11,28.640
26214,12,17.120
26214,13,11.020
26214,14,6.700
26214,15,4.000
26214,16,2.860
26214,17,1.340
26214,18,1.020
26214,19,0.860
26214,20,0.360
26214,21,0.220
26214,22,0.220
26214,23,0.120
26214,24,0.100
26214,25,0.060
26214,26,0.020
32768,1,18574.56
32768,2,7369.760
32768,3,2951.860
32768,4,1446.560
32768,5,808.500
32768,6,498.740
32768,7,336.120
32768,8,225.620
32768,9,157.120
32768,10,113.860
32768,11,77.420
32768,12,55.560
32768,13,39.740
32768,14,28.600
32768,15,22.120
32768,16,15.500
32768,17,10.960
32768,18,8.020
32768,19,4.920
32768,20,4.420
32768,21,3.180
32768,22,2.340
32768,23,2.000
32768,24,1.500
32768,25,1.100
32768,26,0.620
32768,27,0.520
32768,28,0.340
32768,29,0.300
32768,30,0.320
32768,31,0.120
32768,32,0.120
32768,33,0.060
32768,34,0.100
32768,35,0.080
32768,36,0.040
32768,37,0.040
32768,41,0.020
32768,42,0.020
32768,45,0.020
39321,1,12186.14
39321,2,6673.380
39321,3,2761.640
39321,4,1437.860
39321,5,861.460
39321,6,550.920
39321,7,389.280
39321,8,285.880
39321,9,212.080
39321,10,162.700
39321,11,129.400
39321,12,102.660
39321,13,79.060
39321,14,61.840
39321,15,50.920
39321,16,42.340
39321,17,32.920
39321,18,26.820
39321,19,20.960
39321,20,17.200
39321,21,14.740
39321,22,10.900
39321,23,9.580
39321,24,7.120
39321,25,5.620
39321,26,4.900
39321,27,4.040
39321,28,3.600
39321,29,2.960
39321,30,2.420
39321,31,1.880
39321,32,1.600
39321,33,1.440
39321,34,1.120
39321,35,1.040
39321,36,1.000
39321,37,0.900
39321,38,0.600
39321,39,0.340
39321,40,0.320
39321,41,0.400
39321,42,0.340
39321,43,0.320
39321,44,0.240
39321,45,0.180
39321,46,0.220
39321,47,0.040
39321,48,0.040
39321,49,0.060
39321,50,0.100
39321,51,0.020
39321,52,0.080
39321,53,0.060
39321,54,0.040
39321,55,0.040
39321,59,0.020
39321,60,0.040
39321,61,0.040
39321,62,0.020
45875,1,5624.76
45875,2,6372.300
45875,3,2412.820
45875,4,1327.040
45875,5,849.440
45875,6,572.300
45875,7,392.460
45875,8,291.760
45875,9,228.240
45875,10,184.060
45875,11,146.600
45875,12,117.040
45875,13,100.380
45875,14,84.800
45875,15,70.220
45875,16,62.240
45875,17,51.820
45875,18,44.040
45875,19,39.740
45875,20,33.580
45875,21,29.660
45875,22,25.720
45875,23,21.920
45875,24,19.440
45875,25,17.540
45875,26,15.220
45875,27,13.600
45875,28,10.500
45875,29,9.640
45875,30,9.440
45875,31,7.820
45875,32,6.500
45875,33,5.460
45875,34,5.460
45875,35,5.680
45875,36,3.840
45875,37,3.560
45875,38,3.360
45875,39,2.620
45875,40,3.060
45875,41,2.600
45875,42,1.660
45875,43,2.140
45875,44,2.180
45875,45,1.680
45875,46,1.500
45875,47,1.160
45875,48,1.340
45875,49,1.120
45875,50,0.800
45875,51,0.720
45875,52,1.120
45875,53,0.800
45875,54,0.720
45875,55,0.660
45875,56,0.820
45875,57,0.700
45875,58,0.520
45875,59,0.400
45875,60,0.480
45875,61,0.540
45875,62,0.500
45875,63,0.320
45875,64,0.380
45875,65,0.200
45875,66,0.280
45875,67,0.240
45875,68,0.180
45875,69,0.120
45875,70,0.180
45875,71,0.180
45875,72,0.200
45875,73,0.220
45875,74,0.200
45875,75,0.080
45875,76,0.040
45875,77,0.080
45875,78,0.060
45875,79,0.020
45875,80,0.060
45875,81,0.060
45875,82,0.060
45875,83,0.080
45875,84,0.060
45875,85,0.060
45875,86,0.020
45875,87,0.020
45875,88,0.040
45875,89,0.020
45875,90,0.020
45875,91,0.100
45875,92,0.020
45875,93,0.020
45875,94,0.020
45875,95,0.020
45875,100,0.040
45875,104,0.020
45875,112,0.020
45875,121,0.020
45875,129,0.020
45875,133,0.020
45875,142,0.020
49152,1,1939.040
49152,2,6466.180
49152,3,2172.340
49152,4,1215.540
49152,5,807.980
49152,6,563.360
49152,7,402.340
49152,8,303.740
49152,9,235.800
49152,10,192.220
49152,11,154.240
49152,12,122.320
49152,13,101.980
49152,14,88.100
49152,15,76.020
49152,16,66.620
49152,17,54.220
49152,18,49.120
49152,19,42.900
49152,20,37.860
49152,21,34.120
49152,22,30.960
49152,23,26.260
49152,24,22.680
49152,25,22.520
49152,26,18.080
49152,27,16.160
49152,28,15.240
49152,29,14.160
49152,30,12.880
49152,31,10.620
49152,32,9.620
49152,33,9.240
49152,34,7.400
49152,35,6.920
49152,36,6.800
49152,37,6.340
49152,38,4.940
49152,39,5.160
49152,40,4.800
49152,41,3.240
49152,42,3.900
49152,43,3.560
49152,44,2.420
49152,45,2.320
49152,46,2.980
49152,47,2.440
49152,48,3.220
49152,49,2.560
49152,50,2.260
49152,51,1.760
49152,52,1.960
49152,53,1.880
49152,54,1.300
49152,55,1.800
49152,56,1.620
49152,57,1.300
49152,58,1.320
49152,59,1.200
49152,60,0.980
49152,61,0.920
49152,62,0.980
49152,63,0.920
49152,64,0.960
49152,65,1.080
49152,66,0.820
49152,67,0.600
49152,68,0.480
49152,69,0.540
49152,70,0.500
49152,71,0.580
49152,72,0.580
49152,73,0.400
49152,74,0.460
49152,75,0.680
49152,76,0.640
49152,77,0.320
49152,78,0.440
49152,79,0.420
49152,80,0.300
49152,81,0.180
49152,82,0.360
49152,83,0.420
49152,84,0.300
49152,85,0.320
49152,86,0.120
49152,87,0.120
49152,88,0.320
49152,89,0.220
49152,90,0.200
49152,91,0.100
49152,92,0.320
49152,93,0.100
49152,94,0.160
49152,95,0.040
49152,96,0.180
49152,97,0.120
49152,98,0.040
49152,99,0.100
49152,100,0.100
49152,101,0.080
49152,102,0.060
49152,103,0.100
49152,104,0.120
49152,105,0.100
49152,107,0.100
49152,108,0.060
49152,109,0.060
49152,110,0.040
49152,111,0.020
49152,112,0.100
49152,114,0.080
49152,115,0.020
49152,116,0.040
49152,117,0.020
49152,118,0.040
49152,120,0.040
49152,121,0.060
49152,122,0.040
49152,123,0.020
49152,124,0.020
49152,126,0.020
49152,128,0.060
49152,131,0.020
49152,133,0.040
49152,135,0.020
49152,136,0.020
49152,137,0.020
49152,141,0.020
49152,147,0.020
49152,149,0.020
49152,153,0.020
49152,161,0.020
49152,171,0.020
49152,176,0.020
49152,179,0.020
49152,187,0.020
