S,Cluster_size_B4,Clusters_B4
45875,105,0.040
45875,106,0.200
45875,107,0.080
45875,108,0.060
45875,109,0.080
45875,110,0.040
45875,111,0.180
45875,112,0.060
45875,113,0.080
45875,114,0.140
45875,116,0.080
45875,117,0.060
45875,118,0.100
45875,119,0.080
45875,120,0.120
45875,121,0.140
45875,122,0.080
45875,123,0.040
45875,124,0.100
45875,125,0.060
45875,126,0.060
45875,127,0.100
45875,128,0.020
45875,129,0.040
45875,130,0.020
45875,131,0.020
45875,132,0.020
45875,133,0.020
45875,134,0.040
45875,135,0.040
45875,137,0.020
45875,139,0.040
45875,141,0.040
45875,143,0.020
45875,146,0.020
45875,147,0.060
45875,148,0.020
45875,152,0.020
45875,153,0.020
45875,154,0.020
45875,155,0.020
45875,160,0.020
45875,168,0.020
45875,175,0.020
49152,1,1300.560
49152,2,5780.0005
49152,3,2095.880
49152,4,1127.880
49152,5,687.520
49152,6,448.720
49152,7,311.160
49152,8,223.080
49152,9,172.580
49152,10,139.380
49152,11,111.080
49152,12,91.400
49152,13,76.660
49152,14,67.280
49152,15,58.220
49152,16,54.240
49152,17,47.240
49152,18,41.680
49152,19,38.180
49152,20,35.100
49152,21,34.320
49152,22,28.360
49152,23,28.220
49152,24,23.880
49152,25,22.500
49152,26,20.940
49152,27,19.840
49152,28,16.800
49152,29,15.960
49152,30,15.000
49152,31,14.400
49152,32,13.440
49152,33,11.260
49152,34,10.840
49152,35,11.200
49152,36,9.940
49152,37,9.460
49152,38,8.600
49152,39,7.160
49152,40,7.100
49152,41,6.460
49152,42,6.900
49152,43,6.760
49152,44,6.520
49152,45,5.180
49152,46,5.660
49152,47,4.340
49152,48,4.140
49152,49,3.800
49152,50,3.400
49152,51,3.980
49152,52,3.460
49152,53,3.540
49152,54,3.280
49152,55,2.840
49152,56,2.840
49152,57,3.080
49152,58,3.160
49152,59,2.680
49152,60,2.580
49152,61,2.620
49152,62,2.400
49152,63,2.160
49152,64,2.300
49152,65,2.020
49152,66,1.660
49152,67,1.760
49152,68,1.840
49152,69,1.500
49152,70,1.560
49152,71,1.980
49152,72,1.180
49152,73,1.780
49152,74,1.400
49152,75,1.340
49152,76,1.440
49152,77,1.360
49152,78,1.640
49152,79,1.160
49152,80,0.740
49152,81,1.200
49152,82,1.200
49152,83,1.020
49152,84,1.120
49152,85,1.180
49152,86,1.080
49152,87,0.920
49152,88,0.960
49152,89,1.000
49152,90,0.660
49152,91,0.740
49152,92,0.820
49152,93,0.760
49152,94,0.980
49152,95,0.680
49152,96,0.640
49152,97,0.560
49152,98,0.620
49152,99,0.940
49152,100,0.480
49152,101,0.620
49152,102,0.600
49152,103,0.480
49152,104,0.500
49152,105,0.680
49152,106,0.540
49152,107,0.440
49152,108,0.680
49152,109,0.580
49152,110,0.440
49152,111,0.460
49152,112,0.420
49152,113,0.460
49152,114,0.340
49152,115,0.500
49152,116,0.340
49152,117,0.340
49152,118,0.260
49152,119,0.420
49152,120,0.520
49152,121,0.120
49152,122,0.320
49152,123,0.460
49152,124,0.360
49152,125,0.180
49152,126,0.280
49152,127,0.220
49152,128,0.220
49152,129,0.200
49152,130,0.260
49152,131,0.280
49152,132,0.260
49152,133,0.260
49152,134,0.220
49152,135,0.220
49152,136,0.340
49152,137,0.240
49152,138,0.220
49152,139,0.180
49152,140,0.260
49152,141,0.220
49152,142,0.100
49152,143,0.180
49152,144,0.160
49152,145,0.100
49152,146,0.240
49152,147,0.120
49152,148,0.060
49152,149,0.200
49152,150,0.120
49152,151,0.200
49152,152,0.140
49152,153,0.080
49152,154,0.100
49152,155,0.200
49152,157,0.060
49152,158,0.140
49152,159,0.080
49152,160,0.100
49152,161,0.120
49152,162,0.100
49152,163,0.120
49152,164,0.080
49152,165,0.040
49152,166,0.100
49152,167,0.060
49152,168,0.080
49152,169,0.040
49152,170,0.180
49152,171,0.040
49152,172,0.040
49152,173,0.080
49152,174,0.020
49152,175,0.100
49152,177,0.020
49152,178,0.040
49152,179,0.080
49152,180,0.040
49152,181,0.060
49152,182,0.080
49152,183,0.040
49152,184,0.020
49152,185,0.020
49152,186,0.040
49152,187,0.060
49152,188,0.020
49152,189,0.060
49152,190,0.060
49152,191,0.020
49152,192,0.040
49152,193,0.060
49152,195,0.040
49152,196,0.020
49152,198,0.080
49152,200,0.020
49152,202,0.020
49152,203,0.020
49152,206,0.040
49152,207,0.020
49152,208,0.040
49152,209,0.040
49152,210,0.020
49152,213,0.020
49152,215,0.040
49152,216,0.040
49152,221,0.020
49152,224,0.020
49152,225,0.020
49152,226,0.040
49152,227,0.020
49152,230,0.040
49152,233,0.020
49152,237,0.020
49152,241,0.020
49152,245,0.020
49152,249,0.020
49152,253,0.020
49152,257,0.020
49152,267,0.020
49152,283,0.020
49152,294,0.020
