S,Cluster_size_B4,Clusters_B4
6554,1,53279.940
6554,2,4984.840
6554,3,606.760
6554,4,90.480
6554,5,16.540
6554,6,2.840
6554,7,0.540
6554,8,0.060
6554,9,0.020
13107,1,42658.080
13107,2,7448.440
13107,3,1651.660
13107,4,451.140
13107,5,141.520
13107,6,49.280
13107,7,18.760
13107,8,6.100
13107,9,2.760
13107,10,0.820
13107,11,0.280
13107,12,0.120
13107,13,0.020
13107,14,0.020
19661,1,33523.880
19661,2,8236.720
19661,3,2455.680
19661,4,894.480
19661,5,386.740
19661,6,187.940
19661,7,91.340
19661,8,47.300
19661,9,24.000
19661,10,13.340
19661,11,6.460
19661,12,3.360
19661,13,1.620
19661,14,1.080
19661,15,0.580
19661,16,0.260
19661,17,0.100
19661,18,0.080
19661,20,0.040
19661,21,0.040
26214,1,25736.400
26214,2,7951.100
26214,3,2852.220
26214,4,1222.700
26214,5,607.500
26214,6,351.920
26214,7,214.780
26214,8,137.760
26214,9,85.800
26214,10,57.120
26214,11,37.240
26214,12,23.200
26214,13,15.600
26214,14,10.200
26214,15,6.380
26214,16,3.960
26214,17,2.940
26214,18,1.880
26214,19,0.820
26214,20,0.720
26214,21,0.720
26214,22,0.440
26214,23,0.340
26214,24,0.120
26214,25,0.160
26214,26,0.020
26214,27,0.020
26214,28,0.020
26214,29,0.040
26214,30,0.040
26214,31,0.020
26214,33,0.020
26214,36,0.020
32768,1,19058.460
32768,2,7135.920
32768,3,2874.140
32768,4,1331.660
32768,5,716.680
32768,6,447.880
32768,7,309.680
32768,8,222.200
32768,9,165.040
32768,10,120.860
32768,11,90.800
32768,12,68.480
32768,13,51.080
32768,14,37.620
32768,15,30.220
32768,16,22.580
32768,17,17.340
32768,18,13.920
32768,19,10.300
32768,20,7.900
32768,21,5.800
32768,22,4.700
32768,23,3.700
32768,24,2.240
32768,25,1.940
32768,26,1.700
32768,27,1.280
32768,28,0.740
32768,29,0.620
32768,30,0.580
32768,31,0.560
32768,32,0.400
32768,33,0.260
32768,34,0.160
32768,35,0.080
32768,36,0.100
32768,37,0.060
32768,38,0.080
32768,39,0.100
32768,40,0.080
32768,41,0.020
32768,43,0.020
32768,45,0.020
32768,46,0.040
32768,47,0.020
32768,48,0.020
32768,49,0.040
32768,50,0.020
32768,52,0.020
32768,53,0.020
39321,1,13051.800
39321,2,6288.240
39321,3,2655.540
39321,4,1307.560
39321,5,714.460
39321,6,451.920
39321,7,317.100
39321,8,239.900
39321,9,188.400
39321,10,151.100
39321,11,126.940
39321,12,103.220
39321,13,83.620
39321,14,72.280
39321,15,60.700
39321,16,51.140
39321,17,44.900
39321,18,34.520
39321,19,29.500
39321,20,26.600
39321,21,21.120
39321,22,18.740
39321,23,16.100
39321,24,14.260
39321,25,11.540
39321,26,9.700
39321,27,7.340
39321,28,6.740
39321,29,5.920
39321,30,5.800
39321,31,4.360
39321,32,3.720
39321,33,3.180
39321,34,2.880
39321,35,2.200
39321,36,1.860
39321,37,1.940
39321,38,1.780
39321,39,1.360
39321,40,1.400
39321,41,0.720
39321,42,1.080
39321,43,0.680
39321,44,0.560
39321,45,0.760
39321,46,0.480
39321,47,0.660
39321,48,0.440
39321,49,0.500
39321,50,0.320
39321,51,0.380
39321,52,0.300
39321,53,0.180
39321,54,0.200
39321,55,0.240
39321,56,0.200
39321,57,0.140
39321,58,0.160
39321,59,0.120
39321,60,0.120
39321,61,0.180
39321,62,0.040
39321,63,0.040
39321,64,0.100
39321,65,0.120
39321,66,0.060
39321,67,0.100
39321,69,0.020
39321,70,0.040
39321,71,0.040
39321,72,0.020
39321,74,0.060
39321,75,0.020
39321,77,0.020
39321,78,0.020
39321,80,0.020
39321,85,0.020
45875,1,6401.18
45875,2,5804.420
45875,3,2323.780
45875,4,1205.520
45875,5,699.520
45875,6,447.200
45875,7,301.300
45875,8,220.040
45875,9,170.980
45875,10,138.800
45875,11,115.340
45875,12,97.380
45875,13,82.320
45875,14,74.220
45875,15,63.460
45875,16,58.180
45875,17,52.640
45875,18,45.900
45875,19,41.200
45875,20,37.900
45875,21,32.640
45875,22,28.800
45875,23,27.060
45875,24,26.540
45875,25,22.140
45875,26,20.020
45875,27,17.900
45875,28,14.540
45875,29,13.400
45875,30,13.900
45875,31,12.280
45875,32,12.020
45875,33,11.120
45875,34,8.520
45875,35,7.600
45875,36,8.580
45875,37,8.020
45875,38,6.840
45875,39,6.180
45875,40,6.240
45875,41,5.280
45875,42,4.500
45875,43,4.100
45875,44,4.020
45875,45,3.840
45875,46,3.660
45875,47,3.140
45875,48,2.900
45875,49,2.800
45875,50,2.760
45875,51,2.540
45875,52,2.420
45875,53,1.720
45875,54,1.680
45875,55,1.760
45875,56,1.500
45875,57,2.320
45875,58,1.780
45875,59,1.220
45875,60,1.360
45875,61,1.260
45875,62,0.940
45875,63,1.140
45875,64,1.260
45875,65,0.920
45875,66,1.000
45875,67,0.920
45875,68,0.620
45875,69,0.920
45875,70,0.780
45875,71,0.720
45875,72,0.860
45875,73,0.760
45875,74,0.760
45875,75,0.540
45875,76,0.440
45875,77,0.780
45875,78,0.540
45875,79,0.640
45875,80,0.580
45875,81,0.280
45875,82,0.400
45875,83,0.360
45875,84,0.380
45875,85,0.360
45875,86,0.300
45875,87,0.280
45875,88,0.380
45875,89,0.280
45875,90,0.320
45875,91,0.380
45875,92,0.280
45875,93,0.200
45875,94,0.120
45875,95,0.320
45875,96,0.180
45875,97,0.140
45875,98,0.140
45875,99,0.240
45875,100,0.140
45875,101,0.140
45875,102,0.260
45875,103,0.100
45875,104,0.180
