6554,1,53280.960
6554,2,4985.060
6554,3,603.160
6554,4,93.720
6554,5,15.040
6554,6,3.260
6554,7,0.620
6554,8,0.160
6554,9,0.020
13107,1,42666.640
13107,2,7433.380
13107,3,1657.480
13107,4,451.640
13107,5,142.060
13107,6,49.460
13107,7,17.520
13107,8,6.700
13107,9,2.420
13107,10,1.120
13107,11,0.500
13107,12,0.060
13107,13,0.040
13107,14,0.020
13107,15,0.020
19661,1,33532.620
19661,2,8230.380
19661,3,2462.020
19661,4,894.180
19661,5,379.700
19661,6,181.900
19661,7,90.000
19661,8,46.840
19661,9,25.520
19661,10,15.100
19661,11,7.980
19661,12,3.800
19661,13,2.440
19661,14,1.480
19661,15,0.560
19661,16,0.200
19661,17,0.260
19661,18,0.020
19661,19,0.080
19661,20,0.020
19661,21,0.020
26214,1,25809.020
26214,2,7909.680
26214,3,2839.360
26214,4,1213.860
26214,5,601.620
26214,6,337.660
26214,7,208.420
26214,8,135.360
26214,9,89.160
26214,10,58.440
26214,11,39.300
26214,12,26.180
26214,13,17.060
26214,14,11.440
26214,15,8.200
26214,16,5.200
26214,17,3.520
26214,18,2.420
26214,19,1.840
26214,20,1.300
26214,21,1.000
26214,22,0.580
26214,23,0.420
26214,24,0.320
26214,25,0.260
26214,26,0.180
26214,27,0.180
26214,28,0.040
26214,29,0.060
26214,30,0.020
26214,32,0.020
26214,33,0.020
26214,34,0.020
26214,39,0.020
32768,1,19226.46
32768,2,7069.720
32768,3,2847.500
32768,4,1317.180
32768,5,700.840
32768,6,425.720
32768,7,283.100
32768,8,205.980
32768,9,156.620
32768,10,118.500
32768,11,92.000
32768,12,68.160
32768,13,53.740
32768,14,43.640
32768,15,34.020
32768,16,26.240
32768,17,19.360
32768,18,16.380
32768,19,12.520
32768,20,9.740
32768,21,7.800
32768,22,6.040
32768,23,4.900
32768,24,3.960
32768,25,3.380
32768,26,2.580
32768,27,2.160
32768,28,1.420
32768,29,1.280
32768,30,1.000
32768,31,0.820
32768,32,0.480
32768,33,0.380
32768,34,0.300
32768,35,0.360
32768,36,0.300
32768,37,0.160
32768,38,0.180
32768,39,0.180
32768,40,0.060
32768,41,0.060
32768,42,0.100
32768,43,0.060
32768,44,0.060
32768,45,0.020
32768,46,0.040
32768,49,0.020
32768,50,0.040
32768,51,0.020
32768,52,0.020
39321,1,13424.02
39321,2,6118.480
39321,3,2606.900
39321,4,1269.880
39321,5,682.800
39321,6,419.520
39321,7,280.100
39321,8,209.520
39321,9,169.120
39321,10,136.380
39321,11,116.920
39321,12,98.440
39321,13,81.740
39321,14,73.060
39321,15,61.920
39321,16,52.000
39321,17,44.000
39321,18,38.900
39321,19,34.380
39321,20,28.140
39321,21,25.060
39321,22,21.880
39321,23,17.960
39321,24,16.500
39321,25,13.720
39321,26,12.500
39321,27,10.820
39321,28,9.980
39321,29,7.400
39321,30,6.540
39321,31,6.740
39321,32,5.860
39321,33,4.260
39321,34,4.080
39321,35,3.540
39321,36,3.240
39321,37,2.860
39321,38,2.920
39321,39,1.720
39321,40,1.460
39321,41,1.500
39321,42,1.440
39321,43,1.480
39321,44,1.140
39321,45,1.360
39321,46,0.960
39321,47,0.720
39321,48,0.840
39321,49,0.520
39321,50,0.680
39321,51,0.460
39321,52,0.400
39321,53,0.420
39321,54,0.460
39321,55,0.380
39321,56,0.340
39321,57,0.320
39321,58,0.220
39321,59,0.220
39321,60,0.260
39321,61,0.200
39321,62,0.340
39321,63,0.160
39321,64,0.260
39321,65,0.040
39321,66,0.100
39321,67,0.100
39321,68,0.020
39321,69,0.020
39321,70,0.080
39321,71,0.080
39321,72,0.040
39321,73,0.040
39321,74,0.060
39321,75,0.040
39321,76,0.040
39321,77,0.020
39321,78,0.040
39321,80,0.020
39321,81,0.020
39321,82,0.040
39321,83,0.020
39321,84,0.060
39321,85,0.060
39321,86,0.020
39321,89,0.020
39321,93,0.020
39321,97,0.020
39321,98,0.020
39321,103,0.020
39321,104,0.020
39321,106,0.020
39321,108,0.020
39321,116,0.020
39321,130,0.020
45875,1,6480.0201
45875,2,5549.100
45875,3,2285.860
45875,4,1172.420
45875,5,661.600
45875,6,397.260
45875,7,251.540
45875,8,177.660
45875,9,135.200
45875,10,112.780
45875,11,91.720
45875,12,80.340
45875,13,69.500
45875,14,61.380
45875,15,59.080
45875,16,51.320
45875,17,43.980
45875,18,41.960
45875,19,38.380
45875,20,33.980
45875,21,34.800
45875,22,28.340
45875,23,27.820
45875,24,24.920
45875,25,23.880
45875,26,20.940
45875,27,19.360
45875,28,18.440
45875,29,16.680
45875,30,15.400
45875,31,14.360
45875,32,12.740
45875,33,11.720
45875,34,10.960
45875,35,11.440
45875,36,8.480
45875,37,7.900
45875,38,8.420
45875,39,7.020
45875,40,7.780
45875,41,6.940
45875,42,6.260
45875,43,5.260
45875,44,5.060
45875,45,4.280
45875,46,4.940
45875,47,4.240
45875,48,3.860
45875,49,3.900
45875,50,3.480
45875,51,2.640
45875,52,2.940
45875,53,3.060
45875,54,2.740
45875,55,2.140
45875,56,2.400
45875,57,2.660
45875,58,2.440
45875,59,2.020
45875,60,1.780
45875,61,2.060
