B,CostU_S2000
0,2.825
1,2.9225
2,2.8
3,2.7775
4,2.6425
5,2.64
6,2.6925
7,2.7125
8,2.5775
9,2.6225
10,2.7775
11,2.7275
12,2.7225
13,2.585
14,2.7425
15,2.595
