B,CostU_S55000
0,552503.4
1,561832
2,561624.06
3,449755.79
4,405210.94
5,432275.4725
6,409541.605
7,434108.36
8,420402.36
9,441800.1
10,433268.79
11,451614.22
12,445857.555
13,462716.3825
14,458676.175
15,473689.1075
