B,CostU_S65000
0,166228803.88
1,28796112.215
2,28749550.32
3,15587425.2125
4,14096803.1925
5,13671547.44
6,13203853
7,13153939.4075
8,12951767.77
9,13111771.9225
10,13084076.795
11,13288379.8
12,13300936.36
13,13531814.0475
14,13562212.0975
15,13813964.4525
