B,CostC_S15000
0,1620.57
1,2330.39
2,1621.3725
3,1606.485
4,1547.555
5,1547.865
6,1534.28
7,1539.115
8,1530.47
9,1541.815
10,1531.6975
11,1534.42
12,1539.92
13,1533.625
14,1537.37
15,1534.485
