B,CostU_S32768
0,29755.17
1,41230.1
2,28379.34
3,29949.1875
4,26783.805
5,27635.04
6,26527.87
7,26905.2275
8,26565.025
9,26771.4425
10,26666.905
11,26771.575
12,26715.6475
13,26766.425
14,26732.96
15,26842.6025
