B,CostU_S39321
0,66189.82
1,88049.9425
2,62113.0875
3,66552.9075
4,58857.5375
5,61710.6075
6,58778.9975
7,60425.345
8,59299.8825
9,60361.6125
10,59860.065
11,60661.9225
12,60425.72
13,60982.6875
14,60978.385
15,61358.79
