B,CostU_S49152
0,222282.005
1,264011.6
2,264198.51
3,209621.915
4,186146.2725
5,198936.355
6,187671.56
7,197928.9
8,191729.9675
9,200285.2675
10,196485.9975
11,203261.0175
12,201322.7825
13,206551.78
14,205755.67
15,210376.6425
