B,CostU_S50000
0,552503.4
1,561832
2,291894.4325
3,232330.6
4,206737.28
5,221102.3675
6,208634.9425
7,220268.945
8,213490.55
9,222685.115
10,218847.665
11,226670.0475
12,223968.1825
13,230389.4525
14,229531.4875
15,234842.015
