B,CostU_S60000
0,1905461.685
1,1413382
2,1412443.21
3,1088739.82
4,997953.5925
5,1045597.55
6,1001161.57
7,1052753.3225
8,1027324.5725
9,1076072.66
10,1059000.755
11,1105055.4975
12,1094014.875
13,1137309.7325
14,1128646.185
15,1168973.27
