B,CostU_S40000
0,71818.605
1,95035.1
2,94906.135
3,72040.4725
4,63690.6975
5,67188.22
6,63568.6225
7,65656.9975
8,64183.01
9,65529.53
10,64968.125
11,65815.845
12,65620.24
13,66327.7475
14,66272.08
15,66809.7675
