B,CostU_S35000
0,39346.225
1,53861.4
2,37305.815
3,39586.285
4,35234.355
5,36694.24
6,35004.49
7,35639.955
8,35134.14
9,35545.195
10,35274.09
11,35530.7725
12,35400.615
13,35691.9325
14,35550.0925
15,35733.9225
