B,CostU_S10000
0,416.88
1,407.421
2,407.421
3,411.78
4,408.5
5,407.421
6,404.695
7,402.76
8,404.135
9,404.445
10,405.1525
11,408.3325
12,404.1575
13,403.165
14,404.2675
15,403.75
