B,CostC_S5000
0,46.315
1,56.105
2,45.4725
3,44.865
4,45.5275
5,45.2375
6,45.3375
7,44.9375
8,44.595
9,44.6825
10,44.9225
11,45.0625
12,44.3675
13,45.91
14,44.3325
15,46.4875
