B,CostU_S45000
0,130782.365
1,164993.3
2,165017.135
3,128512.5375
4,113625.5125
5,105674.5525
6,114332.685
7,119517.4275
8,116067.37
9,119923.2575
10,118185.1275
11,121132.28
12,120294.0525
13,122689.4275
14,122505.24
15,124287.4825
