B,CostU_S30000
0,20753.615
1,29143.96
2,19945.0975
3,20805.2475
4,18747.9
5,19105.4875
6,18550.1625
7,18698.4075
8,18547.225
9,18621.6025
10,18567.3025
11,18594.8075
12,18573.795
13,18534.4325
14,18601.5875
15,18634.655
