B,CostC_S10000
0,817.63
1,496.71
2,441.618
3,432.923
4,432.563
5,429.49
6,431.078
7,431.545
8,431.26
9,429.585
10,429.105
11,432.0335
12,430.605
13,431.7125
14,433.27
15,431.9125
modified
