B,CostC_S50000
0,58165.095
1,57544.2
2,58519.08
3,62973.92
4,68225.02
5,73653.14
6,79037.74
7,84522.52
8,89841.08
9,95019.22
10,100215.88
11,105040.48
12,109904.98
13,114387.6575
14,119565.0725
15,123627.64
