B,CostC_S65530
0,7425519.315
1,1802724
2,1190745
3,1044453
4,1006838
5,1006877
6,1019948
7,1059004.8
8,1088725.8
9,1126089.615
10,1169634
11,1207001.8
12,1251649
13,1292408.6175
14,1329291.83
15,1375365.76
