B,CostC_S55000
0,91872.475
1,90711.3
2,93412.3
3,102963
4,114677
5,127399
6,140429.86
7,154035.64
8,168030.62
9,182187.98
10,195771.5
11,210103.76
12,224533.82
13,239166.51
14,253575.0025
15,268008.715
