B,CostC_S49152
0,54110.62
1,53479.6
2,54057.44
3,57838.84
4,47878.42
5,66851.62
6,71529.58
7,75898.7
8,80019.42
9,84233.02
10,88222.86
11,92008.96
12,96050.08
13,99407.695
14,103082.8175
15,106496.0725
