B,CostC_S20000
0,3977.935
1,2845.256
2,2455.31
3,2350.71
4,2322.315
5,2305.785
6,2298.665
7,2297.745
8,2298.4
9,2302.395
10,2295.35
11,2301.61
12,2302.76
13,2295.5825
14,2300.525
15,2301.2125
