B,CostC_S65536
0,7973492.02
1,2224834
2,1484724
3,1318823
4,1259627
5,1267944
6,1268672
7,1306012
8,1343376
9,1380761.9625
10,1439252
11,1475625
12,1497638.8
13,1530286.1925
14,1549834.16
15,1603076.6875
