B,CostU_S49152
0,555705.0125
1,451323.5
2,451638.09
3,293393.51
4,240189.345
5,248953.9375
6,223112.48
7,231668.1075
8,216999.425
9,224773.1725
10,215501.835
11,221842.1475
12,216255.065
13,221160.25
14,217830.3325
15,222283.0575
