B,CostU_S1000000,
0,0.725
1,0.4175
2,0.34
3,0.34
4,0.285
5,0.33
6,0.2875
7,0.3025
8,0.36
9,0.3475
10,0.3325
11,0.295
12,0.31
13,0.3225
14,0.35
15,0.3575
