B,CostU_S65000
0,415572009.7
1,50369303.3375
2,50287723.44
3,23334360.05
4,20084887.6125
5,18740972.3325
6,1446682.43
7,17036632.0625
8,16418088.0175
9,16322387.9125
10,16034333.495
11,16066061.5525
12,15889807.8325
13,15997270.83
14,15882759.85
15,16043259.8475
