B,CostU_S30000
0,51884.0375
1,48003.4
2,26167.105
3,25732.695
4,20797.8525
5,20779.165
6,19345.935
7,19354.2675
8,18889.6225
9,18913.5025
10,18732.25
11,18735.62
12,18659.595
13,18604.8875
14,18647.06
15,18676.58
