B,CostC_S15000
0,4051.425
1,3572.855
2,1833.2325
3,1718.55
4,1571.3
5,1560.7275
6,1537.3925
7,1540.7875
8,1539.9425
9,1542.0925
10,1531.8175
11,1534.4725
12,1539.9575
13,1533.6325
14,1537.43
15,1534.485
