B,CostC_S20000
0,7955.87
1,3554.852
2,2686.91
3,2441.54
4,2362.48
5,2324.5
6,2307.2
7,2302.22
8,2300.65
9,2303.7
10,2295.92
11,2301.92
12,2302.92
13,2295.6525
14,2300.59
15,2301.2375
