B,CostC_S10000
0,1635.26
1,571.225
2,455.123
3,435.983
4,433.318
5,429.625
6,431.103
7,431.57
8,431.26
9,429.585
10,429.105
11,432.033
12,430.605
13,431.7125
14,433.27
15,431.9125
