B,CostC_S35000
0,34392.91
1,20227.93
2,14631.7
3,15198.92
4,14592.572
5,14301.16
6,14140.82
7,14090.2
8,14020.332
9,14001.228
10,14027.12
11,13963.99
12,13975.22
13,14029.1625
14,14010.465
15,14018.865
