B,CostC_S65536
0,15946984.04
1,3326618
2,2062586
3,1739287
4,1598389
5,1562456
6,1527154
7,1543044
8,1562922
9,1585781.4275
10,1635274
11,1660790
12,1671457.6
13,1695621.6975
14,1706082.37
15,1755020.0175
