B,CostC_S39321
0,36230.925
1,30727.28
2,26006.3
3,24421.6
4,23833.14
5,23577.82
6,23535.808
7,23539.188
8,23622.288
9,23681.74
10,23808.66
11,23874.06
12,23908.432
13,24061.1275
14,24069.7175
15,24155.86
