B,CostC_S65530
0,14851038.63
1,2693452
2,1651017
3,1373455
4,1273378
5,1236123
6,1223160
7,1246644.6
8,1261968.6
9,1288695.35
10,1324188
11,1353763.6
12,1392718
13,1427969.7975
14,1459642.345
15,1502061.95
x
