α,B*
0.0152,8
0.0305,9
0.07629,13
0.1525,10
0.2288,15
0.3051,13
0.4577,14
0.5,14
0.5340,11
0.6,6
0.61,6
0.6866,3
0.75,2
0.7629,2
0.83292,2
0.918,2
