B,CostC_S15000
0,4053.39
1,1613.84
2,1231.86
3,1147.71
4,1118.9
5,1113.36
6,1109.12
7,1105.51
8,1108.01
9,1109.47
10,1107.56
11,1107.45
12,1108.32
13,1109.46
14,1108.05
15,1106.4675
