B,CostC_S55000
0,183744.95
1,129062.3
2,121506.3
3,127023.8
4,136584.6
5,147968
6,160056.72
7,173031.28
8,186567.24
9,200369.96
10,213607
11,227680.52
12,241955.64
13,256441.765
14,270711.1525
15,285024.265
