B,CostC_S60000
0,338117.26
1,225688
2,206141.4
3,213688.8
4,229705.6
5,249319.4
6,270411
7,292422.6
8,315015
9,337792.2
10,360762.8
11,383870.8
12,408165.6
13,430666.5575
14,454520.8075
15,477318.11
